text,intent,source,group,n_tokens
"As a second year student, what documents are required for the fee waiver?",scholarships,template,scholarships::What documents are required for the {sch}?,13
Do you provide attested copies of the character certificate? I am in second year.,certificates,template,certificates::Do you provide attested copies of the {cert}?,14
I'm in semester 7 of civil. How long will it take to receive my degree transcript after applying? I am in semester 1.,transcripts,template,transcripts::How long will it take to receive my {doc} after applying?,23
I'm in semester 8 of civil. What is the passing criterion for the end semester exam?,examinations,template,examinations::What is the passing criterion for the {exam}?,16
Will there be a hike in the admission fee next year?,fees,template,fees::Will there be a hike in the {fee} next year?,11
I study IT. What is the process to apply for an official transcript? I am in final year.,transcripts,template,transcripts::What is the process to apply for a {doc}?,18
When will the allotment for a double occupancy room be announced? I am in semester 1.,hostel,template,hostel::When will the allotment for a {room} be announced?,16
"Sir, can I apply online for a character certificate or do I have to visit the office?",certificates,template,certificates::Can I apply online for a {cert} or do I have to visit the office?,17
where can i find the cruise control on my kia sportage 2010,out_of_scope,clinc150,clinc::where can i find the cruise control on my kia sportage 2010,12
Urgent: what is the eligibility for the freeship? I am in semester 3.,scholarships,template,scholarships::What is the eligibility for the {sch}?,13
What is the seating arrangement for the makeup exam? Thank u,examinations,augmented,examinations::What is the seating arrangement for the {exam}?,11
the result sohws me absent for data structures even though i appeared.,examinations,augmented,examinations::The result shows me absent for {subject} even though I appeared.,12
Quick question: do u provide attested copies of the study cert?,certificates,augmented,certificates::Do you provide attested copies of the {cert}?,11
how many points per game is lebron james averaging this season,out_of_scope,clinc150,clinc::how many points per game is lebron james averaging this season,11
I'm in semester 1 of electrical. What is the fee for the re-exam?,examinations,template,examinations::What is the fee for the {exam}?,13
wat is the last date to fil the frm for the viva,examinations,augmented,examinations::What is the last date to fill the form for the {exam}?,12
What is the fee for the viva?,examinations,template,examinations::What is the fee for the {exam}?,7
I lost my provisional degree certificate. Can I get a duplicate?,certificates,template,certificates::I lost my {cert}. Can I get a duplicate?,11
I am a faaculty member in civil. How do I register for the minor program in the fall semester?,academic_registration,augmented,academic_registration::How do I register for the {course} in {term}?,19
"Hello, can I bring a guest to the hostel?",hostel,template,hostel::Can I bring a guest to the hostel?,9
i need a domicile verification lettr for an internship.,certificates,augmented,certificates::I need a {cert} for {purpose}.,9
How lnog does it take to get a new ID card,id_cards,augmented,id_cards::How long does it take to get a new {card}?,11
When does course registration for semester 5 open?,academic_registration,template,academic_registration::When does course registration for {term} open?,8
I'm in semester 7 of MBA. Is it possible to update the photo on my hostel ID card?,id_cards,template,id_cards::Is it possible to update the photo on my {card}?,18
Money was deducted from my account for the semester fee but the payment failed. Kindly guide me.,fees,template,fees::Money was deducted from my account for the {fee} but the payment failed.,17
"Hi, I am from MBA. Is the re-exam open book?",examinations,template,examinations::Is the {exam} open book?,10
"Hi, what is the late registration fee for the fall semester? Thanks.",academic_registration,template,academic_registration::What is the late registration fee for {term}?,12
How many days does it take to issue a NOC?,certificates,template,certificates::How many days does it take to issue a {cert}?,10
I am a first year mechanical student. I need a medium of instruction certificate for a visa application. My roll number is J088.,certificates,template,certificates::I need a {cert} for {purpose}.,23
I am a final year biotech student. When will the sports scholarship amount be credited?,scholarships,template,scholarships::When will the {sch} amount be credited?,15
Quick question: I have not received my ID card yet even after the start of the semester.,id_cards,template,id_cards::I have not received my {card} yet even after {duration}.,17
What is the maximum number of credits I can register for in the spring semester?,academic_registration,template,academic_registration::What is the maximum number of credits I can register for in {term}?,15
What is the seating arrangement for the internal assessment?,examinations,template,examinations::What is the seating arrangement for the {exam}?,9
What is the passing criterion for the supplementary exam? Thanks.,examinations,template,examinations::What is the passing criterion for the {exam}?,10
Can I apply online for a provisional degree certificate or do I have to visit the office?,certificates,template,certificates::Can I apply online for a {cert} or do I have to visit the office?,17
"i need a mark statement for wes, wat is the procedure? thank u.",transcripts,augmented,"transcripts::I need a {doc} for {dest}, what is the procedure?",13
wat city is the super bowl,out_of_scope,augmented,clinc::what city is the super bowl,6
Where do I apply for a duplicate student ID card? Thank you.,id_cards,template,id_cards::Where do I apply for a duplicate {card}?,12
"Sir, when will my study cert be ready?",certificates,augmented,certificates::When will my {cert} be ready?,8
are calculators allowed in the end sem examination,examinations,augmented,seed::15::examinations,8
"as a secoqd year student, apply for a new student id card pls. thanks.",id_cards,augmented,id_cards::Apply for a new {card} please.,14
"I am a faculty member in IT. I need a provisional transcript for IELTS, what is the procedure?",transcripts,template,"transcripts::I need a {doc} for {dest}, what is the procedure?",18
"Hi, I am from chemical. Where can I check the status of my freeship application?",scholarships,template,scholarships::Where can I check the status of my {sch} application?,15
"Need a bonafide certificate, whom should I contact? My roll number is K101.",certificates,template,"certificates::Need a {cert}, whom should I contact?",13
Can I still sit for the exams with 70 percent attendance?,attendance,template,attendance::Can I still sit for the exams with {pct} attendance?,11
Whom do I contact for hostel accommodation? Thank you.,hostel,template,hostel::Whom do I contact for hostel accommodation?,9
I study biotech. I need my degree transcript sent to IELTS.,transcripts,template,transcripts::I need my {doc} sent to {dest}.,11
"As a final year student, how many days does it take to issue a study certificate?",certificates,template,certificates::How many days does it take to issue a {cert}?,16
I'm in semester 3 of CSE. I need a domicile verification letter for a scholarship form. It is urgent.,certificates,template,certificates::I need a {cert} for {purpose}.,19
"Sir, can I get an unofficial consolidated marksheet instantly?",transcripts,template,transcripts::Can I get an unofficial {doc} instantly?,9
Do you provide attested copies of the bonafide certificate?,certificates,template,certificates::Do you provide attested copies of the {cert}?,9
wat is the fee for the viva?,examinations,augmented,examinations::What is the fee for the {exam}?,7
How do I report a mistake in my attendance record for physics?,attendance,template,attendance::How do I report a mistake in my attendance record for {subject}?,12
wat documents r needed for a replacement library card? My roll number is J055.,id_cards,augmented,id_cards::What documents are needed for a replacement {card}?,14
"Help, my identity card is not working.",id_cards,template,"id_cards::Help, my {card} is {problem}.",7
How do I get a character certificate? Thank you.,certificates,template,certificates::How do I get a {cert}?,9
I am a faculty member in civil. How do I register for the minor program in the fall semester?,academic_registration,template,academic_registration::How do I register for the {course} in {term}?,19
i study biotech. can i stay in the hostel during the sem break,hostel,augmented,hostel::Can I stay in the hostel during {vac}?,13
What are the prerequisites for the honours program?,academic_registration,template,academic_registration::What are the prerequisites for the {course}?,8
What is the process to enroll in the honours program? It is urgent.,academic_registration,template,academic_registration::What is the process to enroll in the {course}?,13
Please tell me the procedure for the viva in machine learning.,examinations,template,examinations::Please tell me the procedure for the {exam} in {subject}.,11
what does my personality mean,out_of_scope,clinc150,clinc::what does my personality mean,5
When will my duplicate marksheet be dispatched to a university in Canada? I am in second year.,transcripts,template,transcripts::When will my {doc} be dispatched to {dest}?,17
What documents are required for a need-based financial aid application?,scholarships,seed,seed::4::scholarships,10
How can I check my pending dues for the late fee?,fees,template,fees::How can I check my pending dues for the {fee}?,11
"Help, my idenitty card is not working.",id_cards,augmented,"id_cards::Help, my {card} is {problem}.",7
What is the seating arrangement for the re-exam? My roll nubber is J037,examinations,augmented,examinations::What is the seating arrangement for the {exam}?,13
"Excuse me, where do I request a mark statement?",transcripts,template,transcripts::Where do I request a {doc}?,9
What is the curfew time in the hostel? I am in second year.,hostel,template,hostel::What is the curfew time in the hostel?,13
I have not received my library card yet even after a month.,id_cards,template,id_cards::I have not received my {card} yet even after {duration}.,12
How do I switch from mechanical to another branch?,academic_registration,template,academic_registration::How do I switch from {branch} to another branch?,9
The receipt for my exam fee shows the wrong amount.,fees,template,fees::The receipt for my {fee} shows the wrong amount.,10
"Need a NOC, whom should I contact?",certificates,template,"certificates::Need a {cert}, whom should I contact?",7
Do you provide attested copies of the transfer certificate?,certificates,template,certificates::Do you provide attested copies of the {cert}?,9
I'm in semester 5 of electrical. How many days does it take to issue a medium of instruction certificate?,certificates,template,certificates::How many days does it take to issue a {cert}?,19
How can I check my pending dues for the library fee? Thank you.,fees,template,fees::How can I check my pending dues for the {fee}?,13
"Hello, when will the chemistry marks be published?",examinations,template,examinations::When will the {subject} marks be published?,8
How do I apply for revaluation of my answer sheet?,examinations,seed,seed::1::examinations,10
"Hi, I am from IT. Can I pay the development fee by cheque?",fees,template,fees::Can I pay the {fee} by {mode}?,13
Where can I check my subject-wise attnd?,attendance,augmented,seed::5::attendance,7
"i am a second year chemical student. my operating systems exam clashes with anoher paper, what should i do?",examinations,augmented,"examinations::My {subject} exam clashes with another paper, what should I do?",19
How long does it take to get a new hostel ID card? Thank you.,id_cards,template,id_cards::How long does it take to get a new {card}?,14
"Sir, where is the warden's office?",hostel,template,hostel::Where is the warden's office?,6
I need to extend my hostel stay during the summer vacation. It is urgent.,hostel,template,hostel::I need to extend my hostel stay during {vac}.,14
Do u provide attested copies of the transfer cert? My roll numbjr is A055,certificates,augmented,certificates::Do you provide attested copies of the {cert}?,14
do i have to visit the office to collect the consoldated marksheet,transcripts,augmented,transcripts::Do I have to visit the office to collect the {doc}?,12
wat is the fee for a consolidated marksheet,transcripts,augmented,transcripts::What is the fee for a {doc}?,8
"Sir, wat docs r required for a study certificate?",certificates,augmented,certificates::What documents are required for a {cert}?,9
How do I lose weight fast?,out_of_scope,seed,seed::16::out_of_scope,6
What is the late registration fee for next semester?,academic_registration,template,academic_registration::What is the late registration fee for {term}?,9
How do I apply for a double occupancy room? Kindly guide me.,hostel,template,hostel::How do I apply for a {room}?,12
"excuse me, my sc/st scholarship appplication was rejected, how do i appeal",scholarships,augmented,"scholarships::My {sch} application was rejected, how do I appeal?",12
Can I still sit for the exams with below 75 percent attendance?,attendance,template,attendance::Can I still sit for the exams with {pct} attendance?,12
Is the caste certificate mandatory for the fee waiver? It is urgent.,scholarships,template,scholarships::Is the {sdoc} mandatory for the {sch}?,12
Roll number A056 here. The receipt for my late fee shows the wrong amount.,fees,template,fees::The receipt for my {fee} shows the wrong amount.,14
Urgent: how do I apply for the merit scholarship?,scholarships,template,scholarships::How do I apply for the {sch}?,9
How many days does it take to issue a transfer certificate? It is urgent.,certificates,template,certificates::How many days does it take to issue a {cert}?,14
I am a first year CSE student. When will the physics marks be published?,examinations,template,examinations::When will the {subject} marks be published?,14
"Hi, the summer course is full, can I be added to the waitlist?",academic_registration,template,"academic_registration::The {course} is full, can I be added to the waitlist?",13
What are the prerequisites for the minor program?,academic_registration,template,academic_registration::What are the prerequisites for the {course}?,8
Quick question: how can I check my pending dues for the admission fee?,fees,template,fees::How can I check my pending dues for the {fee}?,13
Apply for a new RFID access card please. Thanks.,id_cards,template,id_cards::Apply for a new {card} please.,9
How do I pay the hostel security deposit? I am in semester 5.,hostel,template,hostel::How do I pay the hostel security deposit?,13
"Hi, I am from CSE. What documents are required for hostel admission?",hostel,template,hostel::What documents are required for hostel admission?,12
how many sides are in a hexagon,out_of_scope,clinc150,clinc::how many sides are in a hexagon,7
"Help, my student ID card is misplaced. Thank you.",id_cards,template,"id_cards::Help, my {card} is {problem}.",9
Urgent: what is the seating arrangement for the re-exam? Any help is appreciated.,examinations,template,examinations::What is the seating arrangement for the {exam}?,13
Can I stay in the hostel during the semester break? My roll number is J088.,hostel,template,hostel::Can I stay in the hostel during {vac}?,15
What is the last date to submit the attendance condonation form? Thanks.,attendance,template,attendance::What is the last date to submit the attendance condonation form?,12
Please guide me on requesting a consolidated marksheet for a university in the UK. Thank you.,transcripts,template,transcripts::Please guide me on requesting a {doc} for {dest}.,16
who formulated the theory of relativity,out_of_scope,clinc150,clinc::who formulated the theory of relativity,6
I missed the practical exam in computer networks because of illness. wat should I do?,examinations,augmented,examinations::I missed the {exam} in {subject} because of illness. What should I do?,15
Waen will the allotment for a room in the boys hostel be announced,hostel,augmented,hostel::When will the allotment for a {room} be announced?,13
I want to change my lab course for next semester.,academic_registration,template,academic_registration::I want to change my {course} for {term}.,10
Which laptop is best for programming?,out_of_scope,hard_negative,hn::Which laptop is best for programming?,6
How is attendance calculated for the semester? Please help.,attendance,template,attendance::How is attendance calculated for the semester?,9
what trees change color in autumn,out_of_scope,clinc150,clinc::what trees change color in autumn,6
I study civil. Can I pay the tuition fee by cash at the accounts office?,fees,template,fees::Can I pay the {fee} by {mode}?,15
"Urgent: need a transfer certificate, whom should I contact?",certificates,template,"certificates::Need a {cert}, whom should I contact?",9
Who do I contact about the mid semester exam schedule?,examinations,seed,seed::19::examinations,10
"hi, i am from chemical. wat is the penalty for paying the development fee late",fees,augmented,fees::What is the penalty for paying the {fee} late?,15
"As a final year student, where do I request a provisional transcript?",transcripts,template,transcripts::Where do I request a {doc}?,12
Where do I submit a medical certificate for my absence? My roll number is J012.,attendance,template,attendance::Where do I submit a medical certificate for my absence?,15
Who do I contact about the improvement exam schedule?,examinations,template,examinations::Who do I contact about the {exam} schedule?,9
what is the formula for the circumference of a circle,out_of_scope,clinc150,clinc::what is the formula for the circumference of a circle,10
What is the eligibility for the sports scholarship?,scholarships,template,scholarships::What is the eligibility for the {sch}?,8
The portal shows me absent althyugh I was present in physics class.,attendance,augmented,attendance::The portal shows me absent although I was present in {subject} class.,12
"sir, where can i download my hall ticket for the mkeup exam",examinations,augmented,examinations::Where can I download my hall ticket for the {exam}?,12
How can I pay the re-registration fee?,fees,template,fees::How can I pay the {fee}?,7
"Hello, I need to renew my studetn ID card. Any help is appreciated.",id_cards,augmented,id_cards::I need to renew my {card}.,13
My hall ticket has the wrong subject code for mathematics.,examinations,template,examinations::My hall ticket has the wrong subject code for {subject}.,10
"Madam, what minimum CGPA do I need to keep my girl child scholarship?",scholarships,template,scholarships::What minimum CGPA do I need to keep my {sch}?,13
How long will it take to receive my official transcript after applying?,transcripts,template,transcripts::How long will it take to receive my {doc} after applying?,12
I need my mark statement sent to IELTS.,transcripts,template,transcripts::I need my {doc} sent to {dest}.,8
I study electrical. Is a semester-wise transcript enough for the visa office?,transcripts,template,transcripts::Is a {doc} enough for {dest}?,12
what r some of picasso's most faomus works,out_of_scope,augmented,clinc::what are some of picasso's most famous works,8
"There is an error in the details on my hostel ID card, how do I correct it?",id_cards,template,"id_cards::There is an error in the details on my {card}, how do I correct it?",17
Where can I see the list of courses offered in semester 5?,academic_registration,template,academic_registration::Where can I see the list of courses offered in {term}?,12
Quick question: how is attnd caculated for the semester?,attendance,augmented,attendance::How is attendance calculated for the semester?,9
How long will it take to receive my provisional transcript after applying?,transcripts,template,transcripts::How long will it take to receive my {doc} after applying?,12
"Hi, I need a fee structure document for my education loan.",fees,template,fees::I need a fee structure document for my education loan.,11
I am a faculty member in electrical. Can I track the status of my duplicate marksheet request?,transcripts,template,transcripts::Can I track the status of my {doc} request?,17
How can faculty upload attnd for a batch? Any help is appreciated.,attendance,augmented,attendance::How can faculty upload attendance for a batch?,12
I'm in sem 5 of electrical. How many dys does it take to issue a metium of instruction certificate,certificates,augmented,certificates::How many days does it take to issue a {cert}?,19
"Hi, I am from MBA. My DBMS professor did not update my attendance.",attendance,template,attendance::My {subject} professor did not update my attendance.,13
whre is the office that issues the library card? thanks.,id_cards,augmented,id_cards::Where is the office that issues the {card}?,10
is attnd mandatory for mathematics lab sessions? i am in first year.,attendance,augmented,attendance::Is attendance mandatory for {subject} lab sessions?,12
What is the last date to fill the form for the viva?,examinations,template,examinations::What is the last date to fill the form for the {exam}?,12
can i track the stajus of my consolidated marksheet request?,transcripts,augmented,transcripts::Can I track the status of my {doc} request?,10
I study IT. What documents are required for a passing certificate? It is urgent.,certificates,template,certificates::What documents are required for a {cert}?,14
My hall ticket has the wrong subject code for DBMS.,examinations,template,examinations::My hall ticket has the wrong subject code for {subject}.,10
How many days does it take to issue a transfer certificate?,certificates,template,certificates::How many days does it take to issue a {cert}?,11
quick question: i neeed my consolidated marksheet sent to ielts. i am in semester 3.,transcripts,augmented,transcripts::I need my {doc} sent to {dest}.,15
"Hey, I need a medium of instruction certificate for a scholarship form.",certificates,template,certificates::I need a {cert} for {purpose}.,12
When will the allotment for a ground floor room be announced?,hostel,template,hostel::When will the allotment for a {room} be announced?,11
Who is the coordinator for the research fellowship?,scholarships,template,scholarships::Who is the coordinator for the {sch}?,8
What documents are required for the freeship?,scholarships,template,scholarships::What documents are required for the {sch}?,7
Who signs the NOC? Please help.,certificates,template,certificates::Who signs the {cert}?,6
pls guide me to apply for the merit scholarship.,scholarships,augmented,scholarships::Please guide me to apply for the {sch}.,9
Roll number A143 here. My hall ticket has the wrong subject code for computer networks. Please help.,examinations,template,examinations::My hall ticket has the wrong subject code for {subject}.,17
what were some of ben franklin's notable accomplishments,out_of_scope,clinc150,clinc::what were some of ben franklin's notable accomplishments,8
"Madam, can I still sit for the exams with 72 percent attendance?",attendance,template,attendance::Can I still sit for the exams with {pct} attendance?,12
solve tihs integral for me.,out_of_scope,augmented,hn::Solve this integral for me.,5
what's the most dominant scale in bluegrass,out_of_scope,clinc150,clinc::what's the most dominant scale in bluegrass,7
what year was star trek released,out_of_scope,clinc150,clinc::what year was star trek released,6
How do I renew my minority scholarship for next year?,scholarships,template,scholarships::How do I renew my {sch} for next year?,10
i'm in semester 1 of electrical. wat is the fee for the re-exam?,examinations,augmented,examinations::What is the fee for the {exam}?,13
is the caste cert mandatory for the research fellowship,scholarships,augmented,scholarships::Is the {sdoc} mandatory for the {sch}?,9
How do I switch from mechanical to another branch? Thank you.,academic_registration,template,academic_registration::How do I switch from {branch} to another branch?,11
Please guide me on requesting a semester-wise transcript for a university in Canada.,transcripts,template,transcripts::Please guide me on requesting a {doc} for {dest}.,13
"Excuse me, please guide me on requesting a sealed transcript for a university in the UK.",transcripts,template,transcripts::Please guide me on requesting a {doc} for {dest}.,16
"Sir, I forgot my library card at home, can I still enter the campus? Thank u.",id_cards,augmented,"id_cards::I forgot my {card} at home, can I still enter the campus?",16
"Sir, will there be a hike in the development fee next year?",fees,template,fees::Will there be a hike in the {fee} next year?,12
Can I register for the lab course along with my regular courses?,academic_registration,template,academic_registration::Can I register for the {course} along with my regular courses?,12
What is the seating arrangement for the makeup exam? Thank you.,examinations,template,examinations::What is the seating arrangement for the {exam}?,11
"Madam, what is the process to apply for a transfer certificate?",certificates,template,certificates::What is the process to apply for a {cert}?,11
I am a second year IT student. Which form do I fill for a new identity card? My roll number is K012.,id_cards,template,id_cards::Which form do I fill for a new {card}?,22
who signs the degree cert?,certificates,augmented,certificates::Who signs the {cert}?,5
Where can I check the status of my fee waiver application?,scholarships,template,scholarships::Where can I check the status of my {sch} application?,11
How do I get permission for a night out from the hostel?,hostel,template,hostel::How do I get permission for a night out from the hostel?,12
Do I need to file an FIR if my identity card is misplaced? Thanks.,id_cards,template,id_cards::Do I need to file an FIR if my {card} is {problem}?,14
Where do I apply for a duplicate identity card?,id_cards,template,id_cards::Where do I apply for a duplicate {card}?,9
Is registration mandatory for next semester even if I have backlogs? I am in semester 8.,academic_registration,template,academic_registration::Is registration mandatory for {term} even if I have backlogs?,16
Roll number K059 here. How do I switch from MBA to another branch?,academic_registration,template,academic_registration::How do I switch from {branch} to another branch?,13
What is the meaning of life?,out_of_scope,seed,seed::11::out_of_scope,6
Moeny was deducted from my account for the tuition fee but the payment failed.,fees,augmented,fees::Money was deducted from my account for the {fee} but the payment failed.,14
"Sir, whom do I contact for hostel accommodation? I am in semester 1.",hostel,template,hostel::Whom do I contact for hostel accommodation?,13
"Hello, how can I get a hostel no dues certificate before vacating? I am in semester 5.",hostel,template,hostel::How can I get a hostel no dues certificate before vacating?,17
I study mechanical. How do I report a mistake in my attendance record for mathematics?,attendance,template,attendance::How do I report a mistake in my attendance record for {subject}?,15
"Sir, can I take the summer course from another department? It is urgent.",academic_registration,template,academic_registration::Can I take the {course} from another department?,13
How do I register for the project credits in semester 6? I am in second year.,academic_registration,template,academic_registration::How do I register for the {course} in {term}?,16
How do I apply for an AC room?,hostel,template,hostel::How do I apply for a {room}?,8
When will the timetable for the re-exam be released?,examinations,template,examinations::When will the timetable for the {exam} be released?,9
Quick question: can the university send my degree transcript directly to a university in Canada? I am in second year.,transcripts,template,transcripts::Can the university send my {doc} directly to {dest}?,20
Where can I see the list of courses offered in semester 5? I am in first year.,academic_registration,template,academic_registration::Where can I see the list of courses offered in {term}?,17
Where can I download my hall ticket for the practical exam?,examinations,template,examinations::Where can I download my hall ticket for the {exam}?,11
I missed the end semester exam in chemistry because of illness. What should I do? My roll number is K101.,examinations,template,examinations::I missed the {exam} in {subject} because of illness. What should I do?,20
What are the prerequisites for the lab course?,academic_registration,template,academic_registration::What are the prerequisites for the {course}?,8
"My chemistry exam clashes with another paper, wat should I do?",examinations,augmented,"examinations::My {subject} exam clashes with another paper, what should I do?",11
i am a faculty member in biotech. are first yer students allowed to live in the hostel?,hostel,augmented,hostel::Are first year students allowed to live in the hostel?,17
What is the meaning of the word ephemeral?,out_of_scope,hard_negative,hn::What is the meaning of the word ephemeral?,8
I'm in semester 1 of chemical. Can I bring a guest to the hostel?,hostel,template,hostel::Can I bring a guest to the hostel?,14
Are calculators allowed in the viva? Please help.,examinations,template,examinations::Are calculators allowed in the {exam}?,8
Where can I check the status of my fee waiver application? Thank you.,scholarships,template,scholarships::Where can I check the status of my {sch} application?,13
"madam, how many days does it tae to issue a transfer cert",certificates,augmented,certificates::How many days does it take to issue a {cert}?,12
"Hi, I am from MBA. Tell me about the minority scholarship available for students.",scholarships,template,scholarships::Tell me about the {sch} available for students.,14
My hall ticket has the wrong subject code for mathematics. Thank you.,examinations,template,examinations::My hall ticket has the wrong subject code for {subject}.,12
how many oscars did star wars films win,out_of_scope,clinc150,clinc::how many oscars did star wars films win,8
"My research fellowship application was rejected, how do I appeal?",scholarships,template,"scholarships::My {sch} application was rejected, how do I appeal?",10
"Madam, what is the curfew time in the hostel?",hostel,template,hostel::What is the curfew time in the hostel?,9
What is the fee for a provisional transcript?,transcripts,template,transcripts::What is the fee for a {doc}?,8
"Madam, is a room in the girls hostel available this semester? Thanks.",hostel,template,hostel::Is a {room} available this semester?,12
Where can I collect my character certificate? It is urgent.,certificates,template,certificates::Where can I collect my {cert}?,10
"Excuse me, how much does a sealed trannscript cost?",transcripts,augmented,transcripts::How much does a {doc} cost?,9
I need a transcript for my graduate school admission.,transcripts,seed,seed::17::transcripts,9
How long does it take to get a new student ID card? Kindly guide me.,id_cards,template,id_cards::How long does it take to get a new {card}?,15
Quick question: I want to change my honours program for semester 5. Thank you.,academic_registration,template,academic_registration::I want to change my {course} for {term}.,14
Quick question: I lost my course completion certificate. Can I get a duplicate?,certificates,template,certificates::I lost my {cert}. Can I get a duplicate?,13
Please guide me on getting a degree certificate.,certificates,template,certificates::Please guide me on getting a {cert}.,8
How can I check my pending dues for the exam fee?,fees,template,fees::How can I check my pending dues for the {fee}?,11
Who signs the transfer certificate?,certificates,template,certificates::Who signs the {cert}?,5
"Excuse me, how do I get permission for a night out from the hostel? Kindly guide me.",hostel,template,hostel::How do I get permission for a night out from the hostel?,17
"Sir, how do I report a mistake in my attendance record for computer networks? I am in first year.",attendance,template,attendance::How do I report a mistake in my attendance record for {subject}?,19
Is there a waiver or concession on the late fee?,fees,template,fees::Is there a waiver or concession on the {fee}?,10
What documents are needed for a replacement hostel ID card? Kindly guide me.,id_cards,template,id_cards::What documents are needed for a replacement {card}?,13
How long does it take to get a new hostel ID card? It is urgent.,id_cards,template,id_cards::How long does it take to get a new {card}?,15
"hey, is registration mandatory for next sem even if i have backlogs",academic_registration,augmented,academic_registration::Is registration mandatory for {term} even if I have backlogs?,12
Who should I contact about my ID card?,id_cards,template,id_cards::Who should I contact about my {card}?,8
"Sir, I missed the viva in chemistry because of illness. What should I do?",examinations,template,examinations::I missed the {exam} in {subject} because of illness. What should I do?,14
wat trees change color in autumn,out_of_scope,augmented,clinc::what trees change color in autumn,6
I lst my ID card. What sould I do?,id_cards,augmented,seed::0::id_cards,9
Quick question: what are the prerequisites for the elective?,academic_registration,template,academic_registration::What are the prerequisites for the {course}?,9
can you list me tiger wood's stats,out_of_scope,clinc150,clinc::can you list me tiger wood's stats,7
Is the supplementary exam open book?,examinations,template,examinations::Is the {exam} open book?,6
"My fee waiver application was rejected, how do I appeal?",scholarships,template,"scholarships::My {sch} application was rejected, how do I appeal?",10
"Excuse me, what is the maximum number of credits I can register for in semester 6?",academic_registration,template,academic_registration::What is the maximum number of credits I can register for in {term}?,16
who are some notable alumni of ucsd,out_of_scope,clinc150,clinc::who are some notable alumni of ucsd,7
when do the utah jazz play next,out_of_scope,clinc150,clinc::when do the utah jazz play next,7
Please guide me on requesting a mark statement for IELTS. Thank you.,transcripts,template,transcripts::Please guide me on requesting a {doc} for {dest}.,12
Will duty leave for a family emergency be counted as present?,attendance,template,attendance::Will duty leave for {reason} be counted as present?,11
Where can I check the status of my SC/ST scholarship application?,scholarships,template,scholarships::Where can I check the status of my {sch} application?,11
How do I request a character certificate for an internship?,certificates,template,certificates::How do I request a {cert} for {purpose}?,10
I study CSE. Where is the office that issues the identity card? Thanks.,id_cards,template,id_cards::Where is the office that issues the {card}?,13
"as a second year student, wat is the maximum number of credits i can register for in sem 5? my roll number is k059",academic_registration,augmented,academic_registration::What is the maximum number of credits I can register for in {term}?,24
What documents are required for the need-based scholarship?,scholarships,template,scholarships::What documents are required for the {sch}?,8
Roll number K055 here. Can I get an unofficial degree transcript instantly?,transcripts,template,transcripts::Can I get an unofficial {doc} instantly?,12
urgent: wheere do i submit a medical certificate for my absence,attendance,augmented,attendance::Where do I submit a medical certificate for my absence?,11
I am a faculty member in MBA. Can I still sit for the exams with 68 percent attendance?,attendance,template,attendance::Can I still sit for the exams with {pct} attendance?,18
Where can I collect my transfer certificate?,certificates,template,certificates::Where can I collect my {cert}?,7
How do I get a change of exam centre for the end semester exam?,examinations,template,examinations::How do I get a change of exam centre for the {exam}?,14
I study CSE. What is the fee for the supplementary exam?,examinations,template,examinations::What is the fee for the {exam}?,11
Where can I collect my provisional degree certificate? Kindly guide me.,certificates,template,certificates::Where can I collect my {cert}?,11
Where can I see the list of courses offered this semester?,academic_registration,seed,seed::17::academic_registration,11
"Hi, when will my study certificate be ready? Any help is appreciated.",certificates,template,certificates::When will my {cert} be ready?,12
I want to change my minor program for semester 6.,academic_registration,template,academic_registration::I want to change my {course} for {term}.,10
i am a faculty mebber in biotech. what is the eligibility for the merit scholarship?,scholarships,augmented,scholarships::What is the eligibility for the {sch}?,15
Who do I contact about the re-exam schedule?,examinations,template,examinations::Who do I contact about the {exam} schedule?,8
Can I bring a guest to the hostel? Please help.,hostel,template,hostel::Can I bring a guest to the hostel?,10
Who signs the character certificate? My roll number is A012.,certificates,template,certificates::Who signs the {cert}?,10
Quick question: how do I register for the honours program in semester 6? I am in second year.,academic_registration,template,academic_registration::How do I register for the {course} in {term}?,18
What is the amount of the merit scholarship?,scholarships,template,scholarships::What is the amount of the {sch}?,8
What is the last date to apply for a medium of instruction certificate?,certificates,template,certificates::What is the last date to apply for a {cert}?,13
"as a final year student, how do i renew my need-based scholarship for next year? i am in sem 1",scholarships,augmented,scholarships::How do I renew my {sch} for next year?,20
"Sir, can I take the minor program from another department? My roll number is K059.",academic_registration,template,academic_registration::Can I take the {course} from another department?,15
Do I need to upload my bank passbook for the girl child scholarship?,scholarships,template,scholarships::Do I need to upload my {sdoc} for the {sch}?,13
I lost my provisional degree certificate. Can I get a duplicate? Any help is appreciated.,certificates,template,certificates::I lost my {cert}. Can I get a duplicate?,15
I am a first year biotech student. Can I stay in the hostel during the exam period?,hostel,template,hostel::Can I stay in the hostel during {vac}?,17
"Madam, there is an error in the details on my student ID card, how do I correct it?",id_cards,template,"id_cards::There is an error in the details on my {card}, how do I correct it?",18
How do I switch from IT to another branch?,academic_registration,template,academic_registration::How do I switch from {branch} to another branch?,9
Where can I check the status of my sports scholarship application? Thank you.,scholarships,template,scholarships::Where can I check the status of my {sch} application?,13
How can I get a hostel no dues certificate before vacating? My roll number is A012.,hostel,template,hostel::How can I get a hostel no dues certificate before vacating?,16
