text,intent,source,clean_text
"There is a clash between two of my exam papers, what should I do thanks",examinations,augmented,there is a clash between two of my exam papers what should i do thanks
"excuse me, there is a clash between two of my exam paeprs, what should I do please",examinations,augmented,excuse me there is a clash between two of my exam paeprs what should i do please
"There is a cllash between two of my exm papers, whaat sould I do",examinations,augmented,there is a cllash between two of my exm papers whaat sould i do
"hey, there is a clash between two of my exam papers, what should I do kindly guide me",examinations,augmented,hey there is a clash between two of my exam papers what should i do kindly guide me
"there is a clash between two of my exam papers, what should i do",examinations,augmented,there is a clash between two of my exam papers what should i do
I want to change my hostel room.,hostel,original,i want to change my hostel room
please help: i want to change my hostel room.,hostel,augmented,please help i want to change my hostel room
"hi, i want to change my hostel room",hostel,augmented,hi i want to change my hostel room
quick question: i want to change my hostel room any help is appreciated,hostel,augmented,quick question i want to change my hostel room any help is appreciated
i want to cange my hostel room,hostel,augmented,i want to cange my hostel room
I want to change my hostel room asap,hostel,augmented,i want to change my hostel room asap
Who do I contact for an ID card correction?,id_cards,original,who do i contact for an id card correction
"hey, who do i contact for an id card correction?",id_cards,augmented,hey who do i contact for an id card correction
"hello, who do I conatct for an ID card correction aasp",id_cards,augmented,hello who do i conatct for an id card correction aasp
Who do I contact for an ID card correction any help is appreciated,id_cards,augmented,who do i contact for an id card correction any help is appreciated
please help: who do I conntact for an ID carrd correction?,id_cards,augmented,please help who do i conntact for an id carrd correction
who do i contact for an id card correction any help is appreciatd,id_cards,augmented,who do i contact for an id card correction any help is appreciatd
What is the fee for the re-admission after a break?,fees,original,what is the fee for the re admission after a break
"madam, what is the fee for the re-admission after a break",fees,augmented,madam what is the fee for the re admission after a break
"hey, what is the fee for the re-admission after a break",fees,augmented,hey what is the fee for the re admission after a break
urgent: what is the fee for the re-admission after a break?,fees,augmented,urgent what is the fee for the re admission after a break
what is the fee for the re-admission after a break thanks,fees,augmented,what is the fee for the re admission after a break thanks
What is the fee for the re-admission after a break,fees,augmented,what is the fee for the re admission after a break
I need a transcript for my graduate school admission.,transcripts,original,i need a transcript for my graduate school admission
I need a transcript for my graduate school admission,transcripts,augmented,i need a transcript for my graduate school admission
I need a transcript for my graduae school admission.,transcripts,augmented,i need a transcript for my graduae school admission
I ned a transcript for my graduate school admissioon.,transcripts,augmented,i ned a transcript for my graduate school admissioon
quick question: i need a transcript for my graduate school admission thank you,transcripts,augmented,quick question i need a transcript for my graduate school admission thank you
"madam, i need a transcript for my graduate school admission",transcripts,augmented,madam i need a transcript for my graduate school admission
Play some music.,out_of_scope,original,play some music
"madam, play some music any help is appreciated",out_of_scope,augmented,madam play some music any help is appreciated
plese help: play some music any help is appreciated,out_of_scope,augmented,plese help play some music any help is appreciated
"hi, play some music.",out_of_scope,augmented,hi play some music
urgent: play smoe music any help is appreciated,out_of_scope,augmented,urgent play smoe music any help is appreciated
"hey, play some music.",out_of_scope,augmented,hey play some music
"My scholarship was rejected, how can I appeal?",scholarships,original,my scholarship was rejected how can i appeal
"my scholrship was rejected, how can i appeal?",scholarships,augmented,my scholrship was rejected how can i appeal
"urgent: my scholarshpi was rejected, how can i appeal?",scholarships,augmented,urgent my scholarshpi was rejected how can i appeal
"my scholarship was rejected, how can i appeal thanks",scholarships,augmented,my scholarship was rejected how can i appeal thanks
"my scholarship was rejeected, how can i appeal",scholarships,augmented,my scholarship was rejeected how can i appeal
"urgent: my scholarship was rejected, how can i appeal please",scholarships,augmented,urgent my scholarship was rejected how can i appeal please
How do I lose weight fast?,out_of_scope,original,how do i lose weight fast
please help: how do I lose weight fast,out_of_scope,augmented,please help how do i lose weight fast
how do i lse weight fast any help is appreciated,out_of_scope,augmented,how do i lse weight fast any help is appreciated
how do i lose weight fast thank you,out_of_scope,augmented,how do i lose weight fast thank you
"excuse me, how do I lose weight fast",out_of_scope,augmented,excuse me how do i lose weight fast
How do I lose weight fast,out_of_scope,augmented,how do i lose weight fast
"My ID card expired, how do I renew it?",id_cards,original,my id card expired how do i renew it
"my id card expireed, how do i renew it",id_cards,augmented,my id card expireed how do i renew it
"my id card expired, how do i renew it?",id_cards,augmented,my id card expired how do i renew it
"my id card expired, how do i reenw it?",id_cards,augmented,my id card expired how do i reenw it
"My ID card expired, how do I rennew it?",id_cards,augmented,my id card expired how do i rennew it
"quick question: my id card expired, how do i renew it any help is appreciated",id_cards,augmented,quick question my id card expired how do i renew it any help is appreciated
I need my transcripts sent to a university abroad.,transcripts,original,i need my transcripts sent to a university abroad
"madam, i need my transcripts sent to a university abroad.",transcripts,augmented,madam i need my transcripts sent to a university abroad
I need my transcripts sent to a university abroad thank you,transcripts,augmented,i need my transcripts sent to a university abroad thank you
I need my traanscripts sent to a university abroad please,transcripts,augmented,i need my traanscripts sent to a university abroad please
"hey, i need my transcripts sent to a university abroad.",transcripts,augmented,hey i need my transcripts sent to a university abroad
What is the late fee penalty for delayed payment?,fees,original,what is the late fee penalty for delayed payment
what is the late fee penalty for delayed payment thank you,fees,augmented,what is the late fee penalty for delayed payment thank you
What is the late fee penalty for delayed payment any help is appreciated,fees,augmented,what is the late fee penalty for delayed payment any help is appreciated
"hey, what is the late fee penalty for delayed payment?",fees,augmented,hey what is the late fee penalty for delayed payment
what is the late fee penalty for delayed payment?,fees,augmented,what is the late fee penalty for delayed payment
quick question: what is the late fee penalty for delayed payment,fees,augmented,quick question what is the late fee penalty for delayed payment
Need a new library card and ID card.,id_cards,original,need a new library card and id card
"sir, need a new library card and ID card please",id_cards,augmented,sir need a new library card and id card please
please help: need a new liibrary card and ID card,id_cards,augmented,please help need a new liibrary card and id card
quick question: need a new library cad and ID card,id_cards,augmented,quick question need a new library cad and id card
Need a new library card and ID card thannk you,id_cards,augmented,need a new library card and id card thannk you
How do I get my course registration form signed by my faculty advisor?,academic_registration,original,how do i get my course registration form signed by my faculty advisor
how do i get my course registration form signed by my faculty advisor thank you,academic_registration,augmented,how do i get my course registration form signed by my faculty advisor thank you
quick question: how do i get my course registration form signed by my faculty advisor any help is appreciated,academic_registration,augmented,quick question how do i get my course registration form signed by my faculty advisor any help is appreciated
how do i get my course registration frm signed by my faculty advisor?,academic_registration,augmented,how do i get my course registration frm signed by my faculty advisor
"hey, how do i get my course reggistration form signed by my faculty addvisor asap",academic_registration,augmented,hey how do i get my course reggistration form signed by my faculty addvisor asap
"hi, how do I get my course registraiton form signed by my faculty advisor",academic_registration,augmented,hi how do i get my course registraiton form signed by my faculty advisor
"The last date for the scholarship application has passed, can I still apply?",scholarships,original,the last date for the scholarship application has passed can i still apply
"The last date for the scholarsship application has passed, can I still apply",scholarships,augmented,the last date for the scholarsship application has passed can i still apply
"excse me, the last date for the scholarship aplpication has passed, can I still apply?",scholarships,augmented,excse me the last date for the scholarship aplpication has passed can i still apply
"pelase help: the last daet for the scholarship application has passed, can I still apply?",scholarships,augmented,pelase help the last daet for the scholarship application has passed can i still apply
"the last date for the scholarship application has passed, can i still apply any heelp is appreciated",scholarships,augmented,the last date for the scholarship application has passed can i still apply any heelp is appreciated
"please help: the last date for the scholarship application has passed, can I still apply",scholarships,augmented,please help the last date for the scholarship application has passed can i still apply
"My degree certificate has a spelling mistake in my name, how do I correct it?",certificates,original,my degree certificate has a spelling mistake in my name how do i correct it
"my degree certificate has a spelling mistake in my name, how do i correct it asap",certificates,augmented,my degree certificate has a spelling mistake in my name how do i correct it asap
"my degree certificate has a spelling mistake in my name, how do i correct it any help is appreciated",certificates,augmented,my degree certificate has a spelling mistake in my name how do i correct it any help is appreciated
"excuse me, my degree certificate has a spelling mistake in my name, how do i correct it",certificates,augmented,excuse me my degree certificate has a spelling mistake in my name how do i correct it
"My degree certificate has a spelling mistake in my name, how do I correct it",certificates,augmented,my degree certificate has a spelling mistake in my name how do i correct it
"My degree certificate has a spelling mistake in my namme, how do I correct it",certificates,augmented,my degree certificate has a spelling mistake in my namme how do i correct it
When will my scholarship amount be credited?,scholarships,original,when will my scholarship amount be credited
urgent: when will my scholarship amount be credited,scholarships,augmented,urgent when will my scholarship amount be credited
When will my scholarship amount be credited,scholarships,augmented,when will my scholarship amount be credited
When wil my scholarship amount be credited any help is appreciated,scholarships,augmented,when wil my scholarship amount be credited any help is appreciated
"he,y when will my scholarship amount be credited kindly guide me",scholarships,augmented,he y when will my scholarship amount be credited kindly guide me
When will my scholarship amont be credited,scholarships,augmented,when will my scholarship amont be credited
What is the process to apply for a semester-wise transcript?,transcripts,original,what is the process to apply for a semester wise transcript
what is the process to apply for a semester-wise transcript,transcripts,augmented,what is the process to apply for a semester wise transcript
what is the process to apply for a semester-wise transcript thanks,transcripts,augmented,what is the process to apply for a semester wise transcript thanks
"hello, what is the process to apply for a semester-wise transcript thanks",transcripts,augmented,hello what is the process to apply for a semester wise transcript thanks
What is the process to apply for a semester-wise transcript thank you,transcripts,augmented,what is the process to apply for a semester wise transcript thank you
"hi, what is the process to apply for a semester-wise transcript",transcripts,augmented,hi what is the process to apply for a semester wise transcript
I want to see my evaluated answer script.,examinations,original,i want to see my evaluated answer script
i want to see my evaluated answer scrip.t,examinations,augmented,i want to see my evaluated answer scrip t
I waant to see my evaluated answer script.,examinations,augmented,i waant to see my evaluated answer script
i want to see my evaluated answer script asap,examinations,augmented,i want to see my evaluated answer script asap
i want to see my evaluated answer script.,examinations,augmented,i want to see my evaluated answer script
Can you recommend a good movie?,out_of_scope,original,can you recommend a good movie
"hello, can you recomend a good movie thank you",out_of_scope,augmented,hello can you recomend a good movie thank you
please help: can you recommend a good movie,out_of_scope,augmented,please help can you recommend a good movie
quick question: can you recommend a good movie any help is appreciated,out_of_scope,augmented,quick question can you recommend a good movie any help is appreciated
"hello, can you recmmend a good movie any help is appreciated",out_of_scope,augmented,hello can you recmmend a good movie any help is appreciated
What GPA do I need to keep my scholarship?,scholarships,original,what gpa do i need to keep my scholarship
"madam, what GPA do I need to keep my scholarship kindly guide me",scholarships,augmented,madam what gpa do i need to keep my scholarship kindly guide me
what gpa do i need to kep my scholarship?,scholarships,augmented,what gpa do i need to kep my scholarship
What GPA do I need to keep my scholarship,scholarships,augmented,what gpa do i need to keep my scholarship
What GPA do I need to kep my scholarship pelase,scholarships,augmented,what gpa do i need to kep my scholarship pelase
whhat gpa do i need to keep my scholarship thank you,scholarships,augmented,whhat gpa do i need to keep my scholarship thank you
How do I apply for revaluation of my answer sheet?,examinations,original,how do i apply for revaluation of my answer sheet
"sri, how do i apply for revaluation of my answer sheet kindly guide me",examinations,augmented,sri how do i apply for revaluation of my answer sheet kindly guide me
how do i apply for revaluation of my answer sheet,examinations,augmented,how do i apply for revaluation of my answer sheet
how do i apply for revaluatiion of my answer sheet,examinations,augmented,how do i apply for revaluatiion of my answer sheet
how do i apply for revaluation of my answer sheet thanks,examinations,augmented,how do i apply for revaluation of my answer sheet thanks
Tell me a joke.,out_of_scope,original,tell me a joke
"helo, tell me a joke.",out_of_scope,augmented,helo tell me a joke
tell me a joke please,out_of_scope,augmented,tell me a joke please
"sir, tell me a joke",out_of_scope,augmented,sir tell me a joke
Tell me a joe,out_of_scope,augmented,tell me a joe
My registration is stuck at pending approval from the advisor.,academic_registration,original,my registration is stuck at pending approval from the advisor
My registratino is stuck at pending approval from the advisor,academic_registration,augmented,my registratino is stuck at pending approval from the advisor
"excuse me, my registration is stuck at pendiing approval from the advisor any help is appreciated",academic_registration,augmented,excuse me my registration is stuck at pendiing approval from the advisor any help is appreciated
my registration is stuck at pending approval from the advisor asap,academic_registration,augmented,my registration is stuck at pending approval from the advisor asap
My registration is stuck at pending approal from the adviisor,academic_registration,augmented,my registration is stuck at pending approal from the adviisor
My registration is stuck at pending approval from the advisor asap,academic_registration,augmented,my registration is stuck at pending approval from the advisor asap
How do I request a duplicate degree certificate? I lost the original.,certificates,original,how do i request a duplicate degree certificate i lost the original
how do i request a duplicate degree certiicate? i lost the original,certificates,augmented,how do i request a duplicate degree certiicate i lost the original
"sir, how do I rquest a duplicate degree certificate? I lost the original",certificates,augmented,sir how do i rquest a duplicate degree certificate i lost the original
urgent: how do i request a duplicate degree certificate? i lost the original,certificates,augmented,urgent how do i request a duplicate degree certificate i lost the original
please help: how do I request a duplicate degree certificate? I lost the original thank you,certificates,augmented,please help how do i request a duplicate degree certificate i lost the original thank you
Who issues the medium of instruction certificate?,certificates,original,who issues the medium of instruction certificate
who issues the medium of instruction certificate?,certificates,augmented,who issues the medium of instruction certificate
"excuse me, who issues the medium of instruction certificate?",certificates,augmented,excuse me who issues the medium of instruction certificate
Who issues the medium of instruction certificate,certificates,augmented,who issues the medium of instruction certificate
"hi, who issues the medium of instruction certificate?",certificates,augmented,hi who issues the medium of instruction certificate
Who marks the attendance for lab sessions?,attendance,original,who marks the attendance for lab sessions
who marks the attendance for lab sessions?,attendance,augmented,who marks the attendance for lab sessions
"sir, who marks the attendance for lab sessions asap",attendance,augmented,sir who marks the attendance for lab sessions asap
"sir, who marks the attendance for lab sessions",attendance,augmented,sir who marks the attendance for lab sessions
who marks the attendance for lab sessions,attendance,augmented,who marks the attendance for lab sessions
The result shows absent even though I appeared for the paper.,examinations,original,the result shows absent even though i appeared for the paper
The result shows absent even though I appeared for the papre any help is appreciated,examinations,augmented,the result shows absent even though i appeared for the papre any help is appreciated
the resut shows absent even though i appeared for the paper,examinations,augmented,the resut shows absent even though i appeared for the paper
please help: the result shows abesnt even thoguh i appeared for the papper asap,examinations,augmented,please help the result shows abesnt even thoguh i appeared for the papper asap
the result shows absent even though i appeared for the paper thank you,examinations,augmented,the result shows absent even though i appeared for the paper thank you
Who do I contact about the mid semester exam schedule?,examinations,original,who do i contact about the mid semester exam schedule
Who do I contact about the mid semester exam schedule,examinations,augmented,who do i contact about the mid semester exam schedule
who do i contact about the mid semester exam schedule?,examinations,augmented,who do i contact about the mid semester exam schedule
"hi, who do I contact about the mid semester exam schedule?",examinations,augmented,hi who do i contact about the mid semester exam schedule
"sir, who do I contact about the mid semester exam schedule",examinations,augmented,sir who do i contact about the mid semester exam schedule
who do i conact about the mid semester exam schedule,examinations,augmented,who do i conact about the mid semester exam schedule
How do I cook pasta?,out_of_scope,original,how do i cook pasta
quick question: how do I cook pasta thanks,out_of_scope,augmented,quick question how do i cook pasta thanks
"sir, how do i cook pasta kindly guide me",out_of_scope,augmented,sir how do i cook pasta kindly guide me
quick question: how do I cook pasta,out_of_scope,augmented,quick question how do i cook pasta
How do I cook pasta please,out_of_scope,augmented,how do i cook pasta please
how do i cook pasta,out_of_scope,augmented,how do i cook pasta
How do I register for next semester's courses?,academic_registration,original,how do i register for next semester's courses
how do i register for next semester's courses?,academic_registration,augmented,how do i register for next semester's courses
"hey, how do i regisster for next semester's courses thanks",academic_registration,augmented,hey how do i regisster for next semester's courses thanks
"hey, how do I register for next semester's courses",academic_registration,augmented,hey how do i register for next semester's courses
"sir, how do I register for next semester's courses?",academic_registration,augmented,sir how do i register for next semester's courses
How do I cancel my hostel booking?,hostel,original,how do i cancel my hostel booking
"hey, how do I cancel my hostel booking",hostel,augmented,hey how do i cancel my hostel booking
quick question: how do I cancel my hostel booking asap,hostel,augmented,quick question how do i cancel my hostel booking asap
"hello, how do i cancel my hostel booking?",hostel,augmented,hello how do i cancel my hostel booking
how do i cancel my hostel booking?,hostel,augmented,how do i cancel my hostel booking
Can I get an unofficial transcript instantly?,transcripts,original,can i get an unofficial transcript instantly
Can I get an unofficial transcript instanty any help is appreciated,transcripts,augmented,can i get an unofficial transcript instanty any help is appreciated
can i get an unofficial transcript instantly kindly guide me,transcripts,augmented,can i get an unofficial transcript instantly kindly guide me
Can I get an unnofficial transcript instantly?,transcripts,augmented,can i get an unnofficial transcript instantly
can i get an unofficial transcript instantly,transcripts,augmented,can i get an unofficial transcript instantly
Need a conduct certificate for a scholarship form.,certificates,original,need a conduct certificate for a scholarship form
Need a conduct certificate for a scholarship form,certificates,augmented,need a conduct certificate for a scholarship form
need a conducct certificate for a scholarship form thank you,certificates,augmented,need a conducct certificate for a scholarship form thank you
"hello, nede a conduct certificate for a scholarship form",certificates,augmented,hello nede a conduct certificate for a scholarship form
need a conduct certificate for a scholarship form.,certificates,augmented,need a conduct certificate for a scholarship form
need a conduct certificae for a scholarship form please,certificates,augmented,need a conduct certificae for a scholarship form please
How do I get a bonafide certificate?,certificates,original,how do i get a bonafide certificate
How do I get a bonafide certificate,certificates,augmented,how do i get a bonafide certificate
quick question: how do i get a boanfide certificate thanks,certificates,augmented,quick question how do i get a boanfide certificate thanks
how do i get a bonafide certificae kndly guide me,certificates,augmented,how do i get a bonafide certificae kndly guide me
please help: how do i get a bonafide certificate,certificates,augmented,please help how do i get a bonafide certificate
Do you provide transcripts in a sealed cover with the university stamp?,transcripts,original,do you provide transcripts in a sealed cover with the university stamp
urgent: do you provide transcripts in a sealed cover with the university stamp kindly guide me,transcripts,augmented,urgent do you provide transcripts in a sealed cover with the university stamp kindly guide me
Do you provide transcrips in a sealed cover with the university stamp?,transcripts,augmented,do you provide transcrips in a sealed cover with the university stamp
"mada,m do you provide transcripts in a sealed cover with the university stamp any hellp is appreciated",transcripts,augmented,mada m do you provide transcripts in a sealed cover with the university stamp any hellp is appreciated
Do you provide transcripts in a sealed cover with the university stamp kindly guide me,transcripts,augmented,do you provide transcripts in a sealed cover with the university stamp kindly guide me
quick question: do you provide transcripts in a sealed cover with the university stamp,transcripts,augmented,quick question do you provide transcripts in a sealed cover with the university stamp
I was charged twice for the same semester fee.,fees,original,i was charged twice for the same semester fee
"hello, i was charged twice for the same semester fee",fees,augmented,hello i was charged twice for the same semester fee
i was chaarged twice for the sme semester fee thanks,fees,augmented,i was chaarged twice for the sme semester fee thanks
i was charged twiice for the same semester fee thank you,fees,augmented,i was charged twiice for the same semester fee thank you
"excuse me, i was charged twice for the same semmester fee any help is appreciated",fees,augmented,excuse me i was charged twice for the same semmester fee any help is appreciated
I misplaced my identity card in the canteen.,id_cards,original,i misplaced my identity card in the canteen
i misplaced my identity card in the canteen.,id_cards,augmented,i misplaced my identity card in the canteen
"hey, i misplaced my identity carrd in the canteen any help is appreciated",id_cards,augmented,hey i misplaced my identity carrd in the canteen any help is appreciated
"excuse me, i misplaced my identity card in the canteen thank you",id_cards,augmented,excuse me i misplaced my identity card in the canteen thank you
i misplaced my identity card in the cantteen,id_cards,augmented,i misplaced my identity card in the cantteen
I misplaced my identity card in the canteen,id_cards,augmented,i misplaced my identity card in the canteen
Recommend a good restaurant near me.,out_of_scope,original,recommend a good restaurant near me
Recomend a good restaurant near me,out_of_scope,augmented,recomend a good restaurant near me
"excuse me, recommend a good restaurant near me please",out_of_scope,augmented,excuse me recommend a good restaurant near me please
Recommend a good restaurant near me thank you,out_of_scope,augmented,recommend a good restaurant near me thank you
recommend a good restaurant near me.,out_of_scope,augmented,recommend a good restaurant near me
Recommend a good restaurant near me please,out_of_scope,augmented,recommend a good restaurant near me please
Is there a fee waiver for students with financial difficulty?,fees,original,is there a fee waiver for students with financial difficulty
please help: is there a fee waiver for students with financial difficulty please,fees,augmented,please help is there a fee waiver for students with financial difficulty please
urgent: is there a fee waiver for students with financial difficulty thank you,fees,augmented,urgent is there a fee waiver for students with financial difficulty thank you
Is there a fee waiver for students with financial difficulty,fees,augmented,is there a fee waiver for students with financial difficulty
urgent: is there a fee waiveer for students with financial difficulty,fees,augmented,urgent is there a fee waiveer for students with financial difficulty
What scholarships are available for undergraduate students?,scholarships,original,what scholarships are available for undergraduate students
what scholarships are available for undergraduate students,scholarships,augmented,what scholarships are available for undergraduate students
"hey, what scholarships are available for undergraduate students?",scholarships,augmented,hey what scholarships are available for undergraduate students
quick question: what scholarsihps are aailable for undergraduate students?,scholarships,augmented,quick question what scholarsihps are aailable for undergraduate students
"hello, what scholarships are available for undergraduate students kindly guide me",scholarships,augmented,hello what scholarships are available for undergraduate students kindly guide me
"sir, what scholarships are available for undergraduate students thank you",scholarships,augmented,sir what scholarships are available for undergraduate students thank you
Where can I check my subject-wise attendance?,attendance,original,where can i check my subject wise attendance
urgent: where can i check my subject-wise attendance,attendance,augmented,urgent where can i check my subject wise attendance
Where can I chek my subject-wise attendance thanks,attendance,augmented,where can i chek my subject wise attendance thanks
"hi, where can i check my subject-wise attendance",attendance,augmented,hi where can i check my subject wise attendance
where can i check my subject-wise attendance asap,attendance,augmented,where can i check my subject wise attendance asap
please help: where can i check my subject-wise attendance asap,attendance,augmented,please help where can i check my subject wise attendance asap
I need attested copies of my degree certificate.,certificates,original,i need attested copies of my degree certificate
"hello, i need attested copies of my degree certificate thanks",certificates,augmented,hello i need attested copies of my degree certificate thanks
"hello, i need attested copies of my degree certificate",certificates,augmented,hello i need attested copies of my degree certificate
"hi, i need attested copies of my degree certificate thanks",certificates,augmented,hi i need attested copies of my degree certificate thanks
"madam, i need attested copies of my degree certificate",certificates,augmented,madam i need attested copies of my degree certificate
Faculty ID card renewal process please.,id_cards,original,faculty id card renewal process please
faculty id caard renewal process please any help is appreciated,id_cards,augmented,faculty id caard renewal process please any help is appreciated
"helol, faculty id card renewal process please.",id_cards,augmented,helol faculty id card renewal process please
Faculty ID card renewal process pleaes,id_cards,augmented,faculty id card renewal process pleaes
"hello, faculty id card renewal process please please",id_cards,augmented,hello faculty id card renewal process please please
"hello, faculty id card renewal process please",id_cards,augmented,hello faculty id card renewal process please
"I was on medical leave, how can I get my attendance adjusted?",attendance,original,i was on medical leave how can i get my attendance adjusted
"madam, i was on medical leve, how can I get my attendance adjusted thanks",attendance,augmented,madam i was on medical leve how can i get my attendance adjusted thanks
"i was on medical leave, how can i get my attendance adjusted?",attendance,augmented,i was on medical leave how can i get my attendance adjusted
"hi, i was on medical leve, how can i get my attendance adjusted kindly guide me",attendance,augmented,hi i was on medical leve how can i get my attendance adjusted kindly guide me
"hey, i was on medical leave, how can i get my attendance adjusted",attendance,augmented,hey i was on medical leave how can i get my attendance adjusted
"qiuck question: i was on medical leave, how can I get my attendance adjusted thanks",attendance,augmented,qiuck question i was on medical leave how can i get my attendance adjusted thanks
What is the process for re-registering after a semester break?,academic_registration,original,what is the process for re registering after a semester break
What is the process for re-registering after a semester break,academic_registration,augmented,what is the process for re registering after a semester break
"sir, what is the process for re-registering affter a semester break?",academic_registration,augmented,sir what is the process for re registering affter a semester break
what is the process for re-registering after a smester break?,academic_registration,augmented,what is the process for re registering after a smester break
what is the process for re-regitering after a semeester break?,academic_registration,augmented,what is the process for re regitering after a semeester break
quick question: what is the process for re-registering after a semester break?,academic_registration,augmented,quick question what is the process for re registering after a semester break
The chip on my ID card is not working at the gate.,id_cards,original,the chip on my id card is not working at the gate
"hey, the chip on my ID card is not working at the gate thank you",id_cards,augmented,hey the chip on my id card is not working at the gate thank you
quick question: the chip on my ID card is not working at the gate please,id_cards,augmented,quick question the chip on my id card is not working at the gate please
The chip on my ID card is not woking at the gaet.,id_cards,augmented,the chip on my id card is not woking at the gaet
"excse me, the chip on my id card is not working at the gate",id_cards,augmented,excse me the chip on my id card is not working at the gate
the chip on my id card is not working at the gate.,id_cards,augmented,the chip on my id card is not working at the gate
How do I pay my hostel security deposit?,hostel,original,how do i pay my hostel security deposit
How do I pay my hostel security deposit,hostel,augmented,how do i pay my hostel security deposit
quick question: how do i pay my hostel security deposit?,hostel,augmented,quick question how do i pay my hostel security deposit
urgent: how do i pay my hostel security deposit?,hostel,augmented,urgent how do i pay my hostel security deposit
"madam, how do i pay my hostel security deposit?",hostel,augmented,madam how do i pay my hostel security deposit
What is the stock price of Tata Motors?,out_of_scope,original,what is the stock price of tata motors
what is the stock price of tata motors please,out_of_scope,augmented,what is the stock price of tata motors please
urgent: what is the stock price of tata motors asap,out_of_scope,augmented,urgent what is the stock price of tata motors asap
what is the stock price of tata motors?,out_of_scope,augmented,what is the stock price of tata motors
quick question: what is the stock price of Tata Motors?,out_of_scope,augmented,quick question what is the stock price of tata motors
what is the stock price of tata motors,out_of_scope,augmented,what is the stock price of tata motors
How many copies of the transcript can I order at once?,transcripts,original,how many copies of the transcript can i order at once
"hello, how many copies of the transcript can i order at once",transcripts,augmented,hello how many copies of the transcript can i order at once
how many copies of the transcript can i order at once thanks,transcripts,augmented,how many copies of the transcript can i order at once thanks
quick question: how many copies of the transcript can I order at once please,transcripts,augmented,quick question how many copies of the transcript can i order at once please
quick question: how many copies of the transcript can I order at once?,transcripts,augmented,quick question how many copies of the transcript can i order at once
quick question: how many copies of the transcript can i order at once?,transcripts,augmented,quick question how many copies of the transcript can i order at once
Can I pay the exam fee via demand draft?,fees,original,can i pay the exam fee via demand draft
can i pay the exam fee via demad draft,fees,augmented,can i pay the exam fee via demad draft
urgent: can i pay the exam fee via demaand draft please,fees,augmented,urgent can i pay the exam fee via demaand draft please
Can I pay the eaxm fee via demand draft?,fees,augmented,can i pay the eaxm fee via demand draft
"hey, can I pay the exam fee via demand draft thank you",fees,augmented,hey can i pay the exam fee via demand draft thank you
My ID card is damaged and the barcode does not scan.,id_cards,original,my id card is damaged and the barcode does not scan
"madam, my ID card is damaegd and the barcode does not scan",id_cards,augmented,madam my id card is damaegd and the barcode does not scan
please help: my id card is damaged and the barcode does not scan any help is appreciated,id_cards,augmented,please help my id card is damaged and the barcode does not scan any help is appreciated
My ID card is damaged and the barcode does not sca,id_cards,augmented,my id card is damaged and the barcode does not sca
Do I get attendance for the guest lecture?,attendance,original,do i get attendance for the guest lecture
do i get attendance for the guest lecture?,attendance,augmented,do i get attendance for the guest lecture
urgent: do I get attendacne for the guest lecture?,attendance,augmented,urgent do i get attendacne for the guest lecture
do i get attendance for the guest lecture,attendance,augmented,do i get attendance for the guest lecture
urgent: do i get attendance for the guest lecture?,attendance,augmented,urgent do i get attendance for the guest lecture
"I want to withdraw from the semester, what is the procedure?",academic_registration,original,i want to withdraw from the semester what is the procedure
"quick question: i wnat to withraw from the semester, what is the procedure?",academic_registration,augmented,quick question i wnat to withraw from the semester what is the procedure
"madam, i want to withdraw from the semester, what is the procedure?",academic_registration,augmented,madam i want to withdraw from the semester what is the procedure
"quick question: i want to withdraw from the semester, waht is the procedure",academic_registration,augmented,quick question i want to withdraw from the semester waht is the procedure
"excuse me, i want to withdraw from the semester, waht is the procedure asap",academic_registration,augmented,excuse me i want to withdraw from the semester waht is the procedure asap
What are the rules for hostel night out?,hostel,original,what are the rules for hostel night out
quick question: what are the rules for hostel night out thank you,hostel,augmented,quick question what are the rules for hostel night out thank you
"hello, what are the rules for hostel night out any help is appreciated",hostel,augmented,hello what are the rules for hostel night out any help is appreciated
"sir, whhat are the rules for hostel nigght out",hostel,augmented,sir whhat are the rules for hostel nigght out
please help: what are the rules for hostel night out kindly guide me,hostel,augmented,please help what are the rules for hostel night out kindly guide me
How do I renew my scholarship for the next year?,scholarships,original,how do i renew my scholarship for the next year
"sir, how do I renew my scholarrship for the next year?",scholarships,augmented,sir how do i renew my scholarrship for the next year
"sir, how do I renew my schholarship for the next year please",scholarships,augmented,sir how do i renew my schholarship for the next year please
"sir, how do i renew my scholarship for the next year any help is appreciated",scholarships,augmented,sir how do i renew my scholarship for the next year any help is appreciated
"hey, how do i renew my scholarship for the nxt year",scholarships,augmented,hey how do i renew my scholarship for the nxt year
How do I renew my scholarship for the next year,scholarships,augmented,how do i renew my scholarship for the next year
How do I apply for a replacement ID card?,id_cards,original,how do i apply for a replacement id card
quick question: how do i apply for a replacement id card,id_cards,augmented,quick question how do i apply for a replacement id card
"excuse me, how do I apply for a replacement ID card",id_cards,augmented,excuse me how do i apply for a replacement id card
how do i apply for a replacement id card please,id_cards,augmented,how do i apply for a replacement id card please
"hey, how do i apply for a replacement id card?",id_cards,augmented,hey how do i apply for a replacement id card
What is the last date to pay tuition fees without a fine?,fees,original,what is the last date to pay tuition fees without a fine
what is the last date to pay tuition fees without a fine asap,fees,augmented,what is the last date to pay tuition fees without a fine asap
